Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Normalized
2010-04-07 00:00:00-04:00,18.489595618038944,18.489595618038944,18.35508061964141,18.408071517944336,32600,0.0,0.0,0.0,100.0
2010-04-08 00:00:00-04:00,18.318395813621862,18.493672093793055,18.318395813621862,18.461063385009766,11800,0.0,0.0,0.0,99.07407491243316
2010-04-09 00:00:00-04:00,18.485519989227836,18.583349227905273,18.485519989227836,18.583349227905273,9400,0.0,0.0,0.0,99.97795717713193
2010-04-12 00:00:00-04:00,18.611877497810625,18.628182625758132,18.591496865347533,18.59964942932129,3200,0.0,0.0,0.0,100.66135507935272
2010-04-13 00:00:00-04:00,18.567043653126728,18.664872889472598,18.51405275198342,18.64041519165039,12800,0.0,0.0,0.0,100.41887360160663
2010-04-14 00:00:00-04:00,18.762701551816992,18.872758865356445,18.762701551816992,18.872758865356445,11600,0.0,0.0,0.0,101.47707899848062
2010-04-15 00:00:00-04:00,18.876838002197278,18.937979924259697,18.864608373830226,18.909446716308594,62600,0.0,0.0,0.0,102.09437995377534
2010-04-16 00:00:00-04:00,18.8238469929811,18.860532768001967,18.681180953979492,18.681180953979492,26600,0.0,0.0,0.0,101.80778088308244
2010-04-19 00:00:00-04:00,18.554813978459627,18.72601318359375,18.554813978459627,18.72601318359375,4600,0.0,0.0,0.0,100.35273005298751
2010-04-20 00:00:00-04:00,18.836073094176626,18.88498849237841,18.815692455730737,18.872758865356445,7600,0.0,0.0,0.0,101.87390510476956
2010-04-21 00:00:00-04:00,18.884979870054444,18.884979870054444,18.71785466825067,18.819759368896484,20600,0.0,0.0,0.0,102.13841481546386
2010-04-22 00:00:00-04:00,18.60780829427145,18.8768367767334,18.60780829427145,18.8768367767334,9000,0.0,0.0,0.0,100.63934700722808
2010-04-23 00:00:00-04:00,18.815698417426763,18.958364486694336,18.81162291042349,18.958364486694336,32000,0.0,0.0,0.0,101.76370974316855
2010-04-26 00:00:00-04:00,18.937982957203236,19.01135451938326,18.893144607543945,18.893144607543945,23400,0.0,0.0,0.0,102.42507920901652
2010-04-27 00:00:00-04:00,18.803463556685603,18.884987661826816,18.461063559046885,18.49774932861328,26800,0.0,0.0,0.0,101.69753814594216
2010-04-28 00:00:00-04:00,18.583352483096082,18.644495962347676,18.526286065097672,18.59150505065918,18800,0.0,0.0,0.0,100.5070790459347
2010-04-29 00:00:00-04:00,18.71377552640644,18.79937508512205,18.71377552640644,18.783071517944336,18600,0.0,0.0,0.0,101.21246517770666
2010-04-30 00:00:00-04:00,18.819767133759466,18.836072265776306,18.49774932861328,18.49774932861328,27800,0.0,0.0,0.0,101.78571518026278
2010-05-03 00:00:00-04:00,18.587419081253955,18.795305567123695,18.587419081253955,18.7626953125,17600,0.0,0.0,0.0,100.52907302699239
2010-05-04 00:00:00-04:00,18.534438078080605,18.534438078080605,18.245027380551726,18.31432342529297,22000,0.0,0.0,0.0,100.24252807345289
2010-05-05 00:00:00-04:00,18.13904795555963,18.334704915453372,18.134972449182868,18.212419509887695,27400,0.0,0.0,0.0,98.10408150767067
2010-05-06 00:00:00-04:00,18.126812565296923,18.2001840900114,17.323802853112188,17.69066047668457,28400,0.0,0.0,0.0,98.03790704655498
2010-05-07 00:00:00-04:00,17.568373167234228,17.613211492981275,16.981402537768467,17.393096923828125,78000,0.0,0.0,0.0,95.01761709755324
2010-05-10 00:00:00-04:00,17.800723006144953,18.151275634765625,17.800723006144953,18.151275634765625,23600,0.0,0.0,0.0,96.27426891250175
2010-05-11 00:00:00-04:00,18.081981700842515,18.298019304468667,18.081981700842515,18.143123626708984,18600,0.0,0.0,0.0,97.79544168722246
2010-05-12 00:00:00-04:00,18.143119681193966,18.391767501831055,18.130891609668524,18.391767501831055,9400,0.0,0.0,0.0,98.12610322041361
2010-05-13 00:00:00-04:00,18.322474299963773,18.351007505473294,18.17980671747309,18.232797622680664,9600,0.0,0.0,0.0,99.09613319010545
2010-05-14 00:00:00-04:00,18.07382410322256,18.07382410322256,17.739576692353207,17.81294822692871,17000,0.0,0.0,0.0,97.75132175194385
2010-05-17 00:00:00-04:00,17.865938128630944,17.87816619873047,17.698812877575897,17.87816619873047,50600,0.0,0.0,0.0,96.62698145329071
2010-05-18 00:00:00-04:00,17.849639462053496,17.849639462053496,17.60099158037357,17.62137222290039,2600,0.0,0.0,0.0,96.53883097713025
2010-05-19 00:00:00-04:00,17.478704002285603,17.535770416259766,17.319732833373813,17.535770416259766,8600,0.0,0.0,0.0,94.53264616146019
